ID,x,y,mag1,e_mag,col1,e_col1,MP,sel
Gaia DR2 5698139811755992064,-0.010249,-0.029684,17.879669226496627,0.002172046478257103,0.25340000000000273,0.005325410782277739,0.279,0
Gaia DR2 5698163799155937792,0.052098,0.015968,17.945777566273176,0.0021367444887612857,0.12480000000000047,0.012003332870498927,0.279,0
Gaia DR2 5698139777396224128,-0.025694,-0.033659,18.54171121887193,0.00245448093743244,0.12829999999999941,0.01048475083156486,0.279,0
Gaia DR2 5698166715432465408,-0.033646,0.045606,19.999948838211395,0.0050215463401387704,0.5746000000000002,0.012888754788574418,0.279,0
Gaia DR2 5698166479215602816,0.001029,0.02825,13.817484096663994,0.001813449209949433,0.06369999999999898,0.013717871555019022,0.278,0
Gaia DR2 5698139781697684352,-0.031511,-0.037824,13.935084591600305,0.0018256062842421001,0.07910000000000039,0.005186520991955976,0.278,0
Gaia DR2 5698139816057404032,-0.012712,-0.02453,15.400289286681865,0.0018364058396930039,0.07259999999999955,0.00539351462406472,0.278,0
Gaia DR2 5698166857172724608,0.014095,0.034094,15.44101234890383,0.0018393270993804004,0.04420000000000002,0.00466476151587624,0.278,0
Gaia DR2 5698166444855864704,-0.003007,0.025429,15.892131603635475,0.0018713949496921237,0.04899999999999949,0.0042941821107167774,0.278,0
Gaia DR2 5698166444855819776,0.000265,0.020609,15.968372719387432,0.0019005315139701065,0.13299999999999912,0.0035383612025908263,0.278,0
Gaia DR2 5698163142018371328,0.027774,-0.020637,16.407091412805766,0.0018980203848043273,0.18210000000000015,0.0032280024783137946,0.278,0
Gaia DR2 5698139816057406208,-0.010536,-0.03183,16.50152267899183,0.001905012381967427,0.043900000000000716,0.0060166435825965295,0.278,0
Gaia DR2 5698163833515682176,0.038419,0.025696,17.12431990131502,0.0019830718319025897,0.06709999999999994,0.006126989472816156,0.278,0
Gaia DR2 5698163146311081344,0.03419,-0.027096,17.58521881003707,0.002082037838116511,0.14199999999999946,0.005440588203494178,0.278,0
Gaia DR2 5698139781697681280,-0.02464,-0.040437,17.759083865866923,0.002071335755936716,0.08190000000000097,0.004640043103248072,0.278,0
Gaia DR2 5698163760493809920,0.037085,0.013835,17.93721511729091,0.0022582701591265554,0.15700000000000003,0.0035468295701936397,0.278,0
Gaia DR2 5698139502518215168,-0.009124,-0.056834,18.989421497423685,0.0029237178022158577,0.12040000000000006,0.0223761033247525,0.278,0
Gaia DR2 5698166509272878464,-0.04327,0.013069,19.29809621402575,0.0033605891093425335,0.008000000000002672,0.017824140933015535,0.278,0
Gaia DR2 5698139781689163392,-0.028079,-0.042164,19.66382069021848,0.007437236805846512,0.13890000000000313,0.015928904544883177,0.278,0
Gaia DR2 5698166857162784640,0.010581,0.036008,19.80034606007484,0.004891860080971471,0.19979999999999976,0.03791477284647766,0.278,0
Gaia DR2 5698166681071714688,-0.003527,0.049697,20.094163724506235,0.007018856260334972,0.2414999999999985,0.02418780684559888,0.278,0
Gaia DR2 5698166410486204544,0.010516,0.026659,13.836526414638229,0.001841403783334567,0.18049999999999855,0.02658307732374113,0.277,0
Gaia DR2 5698163283759900800,-0.002644,-0.012052,15.077150552915395,0.001829414036886829,0.024399999999999977,0.0036674241641784493,0.277,0
Gaia DR2 5698166341776611456,-0.0114,0.015324,15.234434090657862,0.0018351077722719706,0.0016999999999995907,0.005700877125495689,0.277,0
Gaia DR2 5698139472460012800,0.017396,-0.054124,15.434461884360168,0.0018540163927421953,0.35360000000000014,0.004301162633521313,0.277,0
Gaia DR2 5698163283759901184,-0.001191,-0.017391,15.53693867159784,0.002038909412801099,0.036099999999999355,0.0040607881008493905,0.277,0
Gaia DR2 5698162940162512256,0.03062,-0.050971,16.39291420189352,0.001891087025059895,0.04049999999999798,0.005197114584074513,0.277,0
Gaia DR2 5698139781697676544,-0.023557,-0.031815,16.809012817458587,0.0019050064341655268,0.12249999999999872,0.008190848551890091,0.277,0
Gaia DR2 5698163077591575808,0.044176,-0.023117,17.037395887823685,0.0019990593033067257,0.06609999999999872,0.004801041553663121,0.277,0
