metal log(age) E_BV dm
0.00700 9.48250 0.30363 13.24123
0.00700 9.48250 0.29656 13.25962
0.00700 9.48250 0.30180 13.24619
0.00700 9.48250 0.30020 13.25051
0.00700 9.48250 0.31094 13.14411
0.00700 9.48250 0.29690 13.25869
0.00700 9.48250 0.30021 13.25086
0.00700 9.48250 0.29866 13.25430
0.00700 9.48250 0.29990 13.25116
0.00700 9.48250 0.29661 13.26005
0.00700 9.48250 0.30287 13.24330
0.00700 9.48250 0.29749 13.25704
0.00700 9.48250 0.29614 13.26127
0.00700 9.48250 0.30707 13.23290
0.00700 9.48250 0.29729 13.25820
0.00700 9.48250 0.30066 13.24885
0.00700 9.48250 0.30064 13.24897
0.00700 9.48250 0.30109 13.24842
0.00700 9.48250 0.29573 13.26224
0.00700 9.48250 0.29740 13.25792
0.00700 9.48250 0.30542 13.23685
0.00700 9.48250 0.29878 13.25422
0.00700 9.48250 0.30041 13.24990
0.00700 9.48250 0.30075 13.24894
0.00700 9.48250 0.29895 13.25343
0.00700 9.48250 0.29673 13.25901
0.00700 9.48250 0.29816 13.25632
0.00700 9.48250 0.30460 13.23948
0.00700 9.48250 0.29438 13.26567
0.00700 9.48250 0.30309 13.24334
0.00700 9.48250 0.30098 13.24834
0.00700 9.48250 0.30371 13.24127
0.00700 9.48250 0.30173 13.24673
0.00700 9.48250 0.29709 13.25818
0.00700 9.48250 0.30015 13.25057
0.00700 9.48250 0.30010 13.25118
0.00700 9.48250 0.29979 13.25158
0.00700 9.48250 0.30034 13.25044
0.00700 9.48250 0.30306 13.24324
0.00700 9.48250 0.30660 13.23456
0.00700 9.48250 0.29795 13.25673
0.00300 9.45250 0.36058 13.00236
0.00300 9.45250 0.36058 13.00236
0.00300 9.45250 0.36058 13.00236
0.00300 9.45250 0.36058 13.00236
0.00300 9.45250 0.36058 13.00236
0.00300 9.45250 0.36058 13.00236
0.00300 9.45250 0.36058 13.00236
0.00300 9.45250 0.36058 13.00236
0.00300 9.45250 0.36058 13.00236
0.00300 9.45250 0.36058 13.00236
0.00300 9.45250 0.36048 13.00256
0.00700 9.48250 0.30133 13.24779
0.00700 9.48250 0.30204 13.24614
0.00700 9.48250 0.30171 13.24626
0.00700 9.48250 0.29801 13.25577
0.00700 9.48250 0.29801 13.25577
0.00700 9.48250 0.30049 13.25032
0.00700 9.48250 0.29462 13.26533
0.00700 9.48250 0.29594 13.26198
0.00700 9.48250 0.29922 13.25315
0.00700 9.48250 0.29884 13.25411
0.00700 9.48250 0.29561 13.26192
0.00700 9.48250 0.29726 13.25794
0.00700 9.48250 0.29813 13.25593
0.00300 9.45250 0.36063 13.00273
0.00300 9.45250 0.36063 13.00273
0.00300 9.45250 0.36063 13.00273
0.00300 9.45250 0.36063 13.00273
0.00700 9.48250 0.30346 13.24268
0.00700 9.48250 0.30089 13.24923
0.00300 9.45250 0.36024 13.00373
0.00700 9.48250 0.30301 13.24296
0.00300 9.45250 0.36080 13.00255
0.00300 9.45250 0.36080 13.00255
0.00700 9.48250 0.29648 13.25981
0.00700 9.48250 0.30248 13.24462
0.00700 9.48250 0.29517 13.26337
0.00700 9.48250 0.29868 13.25437
0.00700 9.48250 0.30302 13.24361
0.00700 9.48250 0.29990 13.25119
0.00700 9.48250 0.29904 13.25347
0.00700 9.48250 0.30315 13.24257
0.00700 9.48250 0.29755 13.25711
