metal log(age) E_BV dm mass
0.03487 8.91837 0.25870 13.65338 974.51744
0.05483 8.78407 0.29395 13.60894 761.59136
0.00888 8.83108 0.29759 13.26775 1027.41059
0.04979 9.00798 0.20747 13.77336 963.44888
0.04785 8.98308 0.26314 13.61696 1236.69432
0.05434 8.98308 0.25217 13.60019 982.31365
0.04839 9.00798 0.28483 13.76327 1056.50569
0.04139 8.95609 0.25027 13.57974 984.13013
0.05061 8.80303 0.25027 13.75313 1128.10206
0.05061 8.80303 0.30279 13.75313 1107.44866
0.01828 8.91644 0.22565 13.17421 593.24683
0.04681 8.79434 0.26843 13.76839 1014.53634
0.04253 8.79434 0.27444 13.74136 913.08565
0.05789 8.90003 0.29610 13.59190 1172.26348
0.04250 8.91653 0.27304 13.57331 1027.35878
0.05075 8.67990 0.29512 13.75243 1027.35878
0.05075 8.98142 0.24757 13.75243 1128.10206
0.01277 9.06634 0.27472 13.33609 1059.38746
0.03229 8.99641 0.24462 13.38459 1059.38746
0.02244 8.85386 0.22306 13.43107 1059.38746
0.02203 8.80259 0.22306 13.41291 994.60381
0.02096 8.98897 0.25994 13.64551 1021.81429
0.05918 8.59420 0.24361 13.78188 598.63382
0.05659 8.59420 0.25877 13.58660 1017.89533
0.01022 8.59420 0.24357 13.51087 1027.35878
0.01293 9.00121 0.26796 13.05949 1155.65933
0.05713 8.90238 0.29805 13.59131 963.44888
0.04681 8.77054 0.25664 13.76839 646.55306
0.04681 8.98308 0.25664 13.76839 1047.93802
0.05202 8.86798 0.25684 13.59699 956.83610
0.01188 8.83047 0.29712 13.39765 1195.46514
0.05068 8.79373 0.30944 13.78386 1195.46514
0.05068 8.77391 0.29532 13.78386 1116.98666
0.04290 9.18339 0.27432 13.31494 1007.48424
0.01317 8.89562 0.24676 13.04989 1092.66642
0.03122 8.79434 0.29579 13.33817 821.65292
0.01555 8.81012 0.24941 13.26358 989.33852
0.03086 8.68817 0.29217 13.64244 1047.63369
0.01442 8.89748 0.26805 12.99012 689.84234
0.03457 8.97154 0.26290 13.65593 1240.74940
0.04854 8.98196 0.22270 13.59633 773.41128
0.04475 8.98706 0.22682 13.75869 995.99000
0.04572 8.93905 0.26393 13.64556 597.33420
0.03047 8.98151 0.26442 13.79828 813.28173
0.04539 9.04386 0.22485 13.58266 618.48877
0.04539 8.73779 0.20823 13.58266 724.93931
0.01179 8.58350 0.28733 13.14520 1243.75231
0.04027 8.98668 0.28733 13.57252 766.93625
0.03683 8.93032 0.30209 13.13187 1074.59482
0.03086 8.97154 0.30209 13.64244 950.67499
0.04879 8.75154 0.30209 13.58510 904.14869
0.03391 9.09931 0.28019 13.36664 1136.21430
0.05958 8.90058 0.28019 13.60157 794.00254
0.03215 8.75023 0.24031 13.81897 577.22968
0.03215 8.58183 0.24031 13.81897 1176.04018
0.01060 8.99828 0.29759 13.17041 943.81331
0.04364 8.94721 0.29813 13.57693 1179.79052
0.04671 8.97815 0.30209 13.60458 913.08565
0.05281 8.72236 0.24397 13.82239 1124.52089
0.01372 8.73779 0.27321 13.22305 1240.74940
0.04932 8.93241 0.27946 13.77064 959.55826
0.01587 8.81067 0.25923 12.96831 879.30226
0.01293 8.72228 0.25923 13.01188 791.90191
0.05567 8.75129 0.30279 13.35093 1168.63952
0.03876 9.02910 0.23474 13.85639 586.04597
0.02014 8.86460 0.29599 13.56087 997.01458
0.05657 8.86460 0.30279 13.58766 992.96555
0.04101 8.95921 0.30279 13.80121 1207.48985
0.03391 8.95921 0.21886 13.36664 1207.48985
0.03513 8.95921 0.29522 13.65209 1004.79241
0.01207 8.84103 0.29522 13.23396 1313.76411
0.01433 8.78407 0.26691 13.59377 645.81094
0.04912 8.79373 0.26747 13.60225 590.51635
0.01339 8.77160 0.24784 13.02110 1143.90622
0.04290 8.81104 0.23456 13.56882 880.06890
0.04588 8.81104 0.29512 13.58741 913.71692
0.01742 8.80487 0.26911 13.14901 995.84385
0.04099 9.10004 0.29774 13.80831 1205.19158
0.04695 8.83579 0.29774 13.31048 1062.92946
0.01179 8.56652 0.26516 13.14520 974.14217
0.01179 8.72328 0.25393 13.14520 1211.85180
0.05512 9.02555 0.24228 13.62753 997.72511
0.01718 8.54499 0.25873 13.59443 1013.37276
0.04582 8.78352 0.24323 13.77154 642.93537
0.04582 8.78594 0.24323 13.77154 642.93537
0.05601 8.92346 0.24019 13.59917 1090.76192
0.01506 8.92442 0.26516 13.28545 1077.55255
0.04504 8.65965 0.24115 13.64607 1089.72947
0.04504 8.66243 0.26203 13.64607 1098.35830
0.03794 8.72328 0.24963 13.56445 1098.35830
0.01348 8.88448 0.22682 13.36079 1176.15145
0.02249 8.87965 0.29594 13.43589 1188.85743
0.02959 8.93139 0.29755 13.78707 988.57138
0.01060 9.12003 0.29755 13.17041 870.41174
0.03542 8.88331 0.26420 13.64526 1073.16267
