metal log(age) E_BV dm mass
0.01900 8.50000 0.14452 13.64526 400.00000
0.04100 7.79500 0.14452 14.68322 400.00000
0.01500 7.79500 0.14452 14.44027 400.00000
0.02900 7.75000 0.14452 14.44027 700.00000
0.02900 7.42800 0.12347 14.44027 700.00000
0.03100 8.52200 0.11741 14.54181 500.00000
0.03100 8.95700 0.13202 14.51019 500.00000
0.02700 7.59300 0.09745 14.32361 500.00000
0.02500 7.59300 0.19055 13.45052 600.00000
0.01900 8.98000 0.10195 13.73338 700.00000
0.03300 7.35300 0.12725 14.63761 600.00000
0.01300 7.50300 0.12725 14.80225 600.00000
0.02500 8.89000 0.09596 13.66240 200.00000
0.02500 7.56300 0.09995 14.71767 500.00000
0.02500 7.75000 0.15397 14.99446 1000.00000
0.02500 7.53300 0.15397 14.95526 1000.00000
0.02500 7.89300 0.11382 14.73657 1000.00000
0.00300 9.09200 0.15722 14.83543 400.00000
0.02700 8.07300 0.15722 14.46055 500.00000
0.04700 8.07300 0.15722 14.40388 500.00000
0.00500 8.07300 0.15722 13.18036 400.00000
0.01900 8.76200 0.15722 14.59599 200.00000
0.01500 8.76200 0.18283 14.47438 300.00000
0.02700 8.76200 0.18322 14.47438 300.00000
0.03300 8.76200 0.15173 14.77813 1900.00000
0.00500 8.63500 0.18434 14.63660 1400.00000
0.04100 8.63500 0.18434 14.16068 800.00000
0.00900 7.46500 0.18434 14.16068 600.00000
0.00900 7.46500 0.18434 13.73405 2200.00000
0.01100 8.65700 0.18434 14.58532 900.00000
0.02900 7.41300 0.18434 14.85572 900.00000
0.04900 7.41300 0.18434 14.67080 500.00000
0.01100 7.88500 0.18434 14.52331 400.00000
0.00300 8.39500 0.11158 14.46038 400.00000
0.01500 8.35800 0.11158 13.25544 900.00000
0.02700 8.83700 0.15019 13.25544 1300.00000
0.00900 8.83700 0.12185 14.62976 500.00000
0.00900 8.83700 0.12185 14.91438 400.00000
0.01500 8.08000 0.12214 13.99496 400.00000
0.01500 9.03200 0.15383 13.99496 1600.00000
0.02700 8.02000 0.15383 13.99496 600.00000
0.02300 8.94200 0.11820 14.85447 600.00000
0.05100 8.94200 0.16232 14.14992 500.00000
0.01900 9.01000 0.10852 14.27188 1000.00000
0.01900 8.64200 0.28415 14.47769 900.00000
0.02700 8.92000 0.21076 14.47769 600.00000
0.02500 8.17800 0.07687 14.74209 800.00000
0.01300 8.92000 0.14525 14.34361 400.00000
0.01300 9.24200 0.14525 14.67897 600.00000
0.03500 8.30500 0.14525 14.55103 600.00000
0.04500 8.75500 0.14727 14.55103 700.00000
0.04500 7.67500 0.11541 14.55103 500.00000
0.04500 7.37500 0.20601 14.17129 700.00000
0.02300 8.72500 0.15611 14.16761 800.00000
0.03700 8.72500 0.15611 14.07278 600.00000
0.03700 8.72500 0.15611 14.01700 600.00000
0.03500 8.59700 0.17175 14.44088 1100.00000
0.03300 8.11000 0.02630 14.23673 500.00000
0.02700 8.38800 0.10781 14.19911 1300.00000
0.03300 7.73500 0.12743 13.60184 400.00000
0.01700 7.00000 0.18723 13.84799 800.00000
0.01700 8.09500 0.11257 14.95200 1000.00000
0.01700 7.39800 0.11257 14.05991 900.00000
0.01700 7.12000 0.14566 14.05991 600.00000
0.00300 7.34500 0.18935 14.43888 600.00000
0.00700 8.61200 0.08597 14.66757 1200.00000
0.00700 7.70500 0.08597 14.80536 300.00000
0.01900 7.41300 0.12426 14.03672 300.00000
0.01900 8.59000 0.16055 14.74130 500.00000
0.01900 8.86000 0.16055 14.74130 500.00000
0.02500 8.17800 0.31358 14.75893 400.00000
0.03100 8.74700 0.16138 13.57745 900.00000
0.01900 8.90500 0.16138 13.49220 400.00000
0.02100 8.90500 0.16138 14.93693 1300.00000
0.02100 8.74700 0.16128 14.73853 1200.00000
0.01500 8.53000 0.16128 14.73853 500.00000
0.01500 8.53000 0.16141 14.89361 500.00000
0.01700 9.60200 0.12226 14.31282 600.00000
0.04300 8.63500 0.16545 14.31282 500.00000
0.04500 8.62000 0.16087 14.76911 700.00000
0.02900 7.28500 0.14489 14.76911 600.00000
0.02500 9.01700 0.16194 14.75589 500.00000
0.02500 8.95000 0.08227 13.97578 300.00000
0.02500 8.13300 0.12326 13.97578 1500.00000
0.05500 8.13300 0.09529 13.97578 300.00000
0.02100 8.29000 0.27608 14.92438 300.00000
0.04100 8.62000 0.13278 14.92592 700.00000
0.01500 8.32000 0.13278 14.63198 400.00000
0.01500 8.32000 0.13636 14.89170 400.00000
0.01500 8.39500 0.13636 14.91144 600.00000
0.01300 8.94200 0.09698 14.78529 2100.00000
0.04100 8.86000 0.21938 14.35618 1500.00000
0.04100 8.86000 0.22134 13.58664 300.00000
0.00300 7.66800 0.12560 14.39896 800.00000
0.01500 8.92700 0.12560 14.37896 600.00000
0.01100 8.92700 0.12296 14.83101 600.00000
0.02300 7.60800 0.20352 14.83101 400.00000
0.04300 7.60800 0.13955 14.80414 400.00000
0.00900 7.99000 0.31043 14.80414 400.00000
0.02300 7.75000 0.13450 14.90222 400.00000
0.01700 8.30500 0.17399 14.93890 1000.00000
0.01300 8.30500 0.14833 14.45060 1000.00000
0.01100 8.53800 0.21636 14.61422 1300.00000
0.02100 8.02000 0.08776 14.89424 300.00000
0.04500 9.40700 0.12027 13.14442 900.00000
0.03700 9.40700 0.12904 14.91702 600.00000
0.03300 9.41500 0.18829 14.54921 600.00000
0.02500 9.54200 0.17063 14.94877 900.00000
0.02500 8.65000 0.16134 14.61216 700.00000
0.02500 8.94200 0.17340 14.59781 400.00000
0.02300 8.97200 0.09256 14.59781 600.00000
0.03700 8.73200 0.09256 14.47992 900.00000
0.00900 8.41000 0.20605 14.40770 1200.00000
0.00500 8.43300 0.18201 14.40770 700.00000
0.01700 8.43300 0.16881 14.51399 700.00000
0.01700 9.12200 0.17747 14.40175 400.00000
0.01100 7.32300 0.17747 14.43608 1100.00000
0.00900 8.32000 0.20735 14.55942 700.00000
0.00500 8.32000 0.15291 14.32864 1100.00000
0.01300 8.32000 0.23841 14.89420 1100.00000
0.03700 8.44700 0.13465 14.87217 1100.00000
0.02500 8.09500 0.20168 14.23462 700.00000
0.02500 7.45000 0.28863 14.23462 400.00000
0.02100 8.03500 0.08731 14.23462 600.00000
0.03100 8.45500 0.18089 14.53710 600.00000
0.05300 7.90000 0.18864 14.64914 600.00000
0.05300 7.90000 0.30170 14.64914 800.00000
0.02900 7.90000 0.20813 14.42410 800.00000
0.00900 7.22500 0.17131 14.55449 600.00000
0.04900 7.22500 0.15929 14.55449 1400.00000
0.02900 7.22500 0.17027 14.63625 1000.00000
0.02500 8.63500 0.17735 14.29239 700.00000
0.03900 8.63500 0.11382 14.24016 1200.00000
0.01100 8.63500 0.31283 14.15405 400.00000
0.00700 8.88200 0.18210 14.16346 600.00000
0.00900 9.77500 0.18210 14.16346 600.00000
0.01300 7.42000 0.18275 14.64089 200.00000
0.01500 8.66500 0.08873 14.64089 400.00000
0.01100 8.35800 0.13832 13.74857 400.00000
0.02300 8.06500 0.13404 14.74503 1100.00000
0.02300 9.39200 0.13971 13.41105 500.00000
0.03500 9.40000 0.11162 14.57932 600.00000
0.03900 8.48500 0.16703 14.57932 500.00000
