#ID           G   (iP1-zP1)   (gP1-rP1)   e_G   e_(iP1-zP1)   e_(gP1-rP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
132     17.4932 0.0019  0.2566  0.0021  0.0116  0.0132  1.5871   1.5871   0.7367   3.8504   4.2554   2.9280  
133     17.6849 -0.0032 0.2748  0.0022  0.0127  0.0146  1.5243   1.5243   0.6578   3.8387   4.2703   3.1256  
134     17.6172 0.0012  0.2722  0.0022  0.0123  0.0141  1.5461   1.5461   0.6859   3.8426   4.2639   3.0556  
135     17.6204 0.0196  0.2932  0.0022  0.0123  0.0141  1.5461   1.5461   0.6859   3.8426   4.2639   3.0556  
136     17.2344 -0.0033 0.2098  0.0021  0.0103  0.0114  1.6785   1.6785   0.8450   3.8697   4.2488   2.6580  
137     17.2339 -0.0053 0.2075  0.0021  0.0103  0.0114  1.6785   1.6785   0.8450   3.8697   4.2488   2.6580  
138     17.0021 -0.0496 0.1207  0.0021  0.0093  0.0101  1.7655   1.7655   0.9409   3.8885   4.2499   2.4175  
139     17.0050 -0.0364 0.1351  0.0021  0.0093  0.0101  1.7655   1.7655   0.9409   3.8885   4.2499   2.4175  
140     17.0875 -0.0297 0.1561  0.0021  0.0096  0.0105  1.7329   1.7329   0.9056   3.8816   4.2496   2.5056  
141     16.7338 -0.0524 0.0655  0.0021  0.0082  0.0086  1.8818   1.8818   1.0605   3.9109   4.2479   2.1184  
142     16.7310 -0.0635 0.0538  0.0021  0.0082  0.0086  1.8818   1.8818   1.0605   3.9109   4.2479   2.1184  
143     16.6144 -0.0669 0.0278  0.0021  0.0078  0.0081  1.9362   1.9362   1.1135   3.9204   4.2451   1.9862  
144     16.6155 -0.0625 0.0323  0.0021  0.0078  0.0081  1.9362   1.9362   1.1135   3.9204   4.2451   1.9862  
145     16.4667 -0.0735 -0.0068 0.0021  0.0073  0.0074  2.0093   2.0093   1.1823   3.9324   4.2402   1.8146  
146     16.3027 -0.0815 -0.0415 0.0021  0.0068  0.0067  2.0963   2.0963   1.2608   3.9456   4.2327   1.6182  
147     16.1372 -0.0749 -0.0584 0.0020  0.0063  0.0060  2.1938   2.1939   1.3451   3.9591   4.2226   1.4075  
148     16.0647 -0.0778 -0.0691 0.0020  0.0062  0.0058  2.2388   2.2388   1.3824   3.9649   4.2171   1.3138  
149     15.9966 -0.0824 -0.0808 0.0020  0.0060  0.0055  2.2805   2.2804   1.4170   3.9702   4.2120   1.2277  
150     15.8286 -0.0805 -0.0965 0.0020  0.0056  0.0049  2.3933   2.3933   1.5077   3.9839   4.1968   1.0008  
151     15.7562 -0.0805 -0.1025 0.0020  0.0054  0.0047  2.4447   2.4446   1.5473   3.9898   4.1897   0.9017  
152     15.6294 -0.0883 -0.1192 0.0020  0.0051  0.0043  2.5332   2.5332   1.6151   3.9997   4.1773   0.7320  
153     15.4436 -0.0889 -0.1314 0.0020  0.0048  0.0038  2.6702   2.6702   1.7163   4.0138   4.1554   0.4791  
154     15.2203 -0.0963 -0.1468 0.0020  0.0044  0.0032  2.8358   2.8359   1.8348   4.0295   4.1257   0.1825  
155     14.8331 -0.0972 -0.1582 0.0020  0.0038  0.0023  3.1299   3.1299   2.0359   4.0529   4.0611   -0.3202 
156     14.5574 -0.1033 -0.1662 0.0020  0.0035  0.0018  3.3328   3.3328   2.1705   4.0653   4.0035   -0.6564 
157     14.1468 -0.1066 -0.1715 0.0020  0.0030  0.0011  3.6145   3.6146   2.3555   4.0759   3.8960   -1.1188 
158     14.0089 -0.1037 -0.1714 0.0020  0.0029  0.0009  3.7019   3.7020   2.4131   4.0769   3.8530   -1.2626 
159     13.6274 -0.1066 -0.1706 0.0020  0.0026  0.0004  3.9096   3.9096   2.5520   4.0716   3.7166   -1.6097 
160     12.7358 0.2193  1.0312  0.0020  0.0021  -0.0005 4.3182   4.3182   2.7477   3.6581   1.9096   -2.0995 
